Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Venue Country,Match Type,MOM
76,211,163,10,0,46.62,4,caught,1,v West Indies,Kingston,8/30/19,West Indies,Test,No
0,3,1,0,0,0,4,caught,3,v West Indies,Kingston,8/30/19,West Indies,Test,No
20,66,40,4,0,50,4,caught,1,v South Africa,Visakhapatnam,2/10/19,India,Test,No
31*,67,25,3,1,124,5,not out,3,v South Africa,Visakhapatnam,2/10/19,India,Test,No
254*,400,336,33,2,75.59,4,not out,1,v South Africa,Pune,10/10/19,India,Test,Yes
12,45,22,2,0,54.54,4,lbw,1,v South Africa,Ranchi,10/19/19,India,Test,No
0,6,2,0,0,0,4,lbw,2,v Bangladesh,Indore,11/14/19,India,Test,No
136,55,194,18,0,70.1,4,caught,2,v Bangladesh,Eden Gardens,11/22/19,India,Test,Yes
2,9,7,0,0,28.57,4,caught,1,v New Zealand,Wellington,2/21/20,New Zealand,Test,No
19,61,43,3,0,44.18,4,caught,3,v New Zealand,Wellington,2/21/20,New Zealand,Test,No
3,23,15,0,0,20,4,lbw,1,v New Zealand,Christchurch,2/29/20,New Zealand,Test,No
14,40,30,3,0,46.66,4,lbw,3,v New Zealand,Christchurch,2/29/20,New Zealand,Test,No
74,244,180,8,0,41.11,4,run out,1,v Australia,Adelaide,12/17/20,Australia,Test,No
4,13,8,1,0,50,5,caught,3,v Australia,Adelaide,12/17/20,Australia,Test,No
11,69,48,0,0,22.91,4,caught,2,v England,Chennai,5/2/21,India,Test,No
72,153,104,9,0,69.23,4,bowled,4,v England,Chennai,5/2/21,India,Test,No
0,6,5,0,0,0,4,bowled,1,v England,Chennai,2/13/21,India,Test,No
62,200,149,7,0,41.61,4,lbw,3,v England,Chennai,2/13/21,India,Test,No
27,85,58,3,0,46.55,4,bowled,2,v England,Ahmedabad,2/24/21,India,Test,No
DNB,-,-,-,-,-,-,-,4,v England,Ahmedabad,2/24/21,India,Test,No
0,13,8,0,0,0,4,caught,2,v England,Ahmedabad,4/3/21,India,Test,No
44,196,132,1,0,33.33,4,lbw,1,v New Zealand,Southampton,6/18/21,England,Test,No
13,43,29,0,0,44.82,4,caught,3,v New Zealand,Southampton,6/18/21,England,Test,No
0,2,1,0,0,0,4,caught,2,v England,Nottingham,4/8/21,England,Test,No
DNB,-,-,-,-,-,-,-,4,v England,Nottingham,4/8/21,England,Test,No
42,152,103,3,0,40.77,4,caught,1,v England,Lord's,12/8/21,England,Test,No
20,54,31,4,0,64.51,4,caught,3,v England,Lord's,12/8/21,England,Test,No
7,31,17,1,0,41.17,4,caught,1,v England,Leeds,8/25/21,England,Test,No
55,173,125,8,0,44,4,caught,3,v England,Leeds,8/25/21,England,Test,No
